self.epoch: 0, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  2/ 8 | batch   196/  404 | examples/s: 2.5 | loss: 0.0000 | loss_pe/0: 0.0000 | self_loss: 0.0000 | min_d: 0.0208 | max_d: 0.2241 | time elapsed: 00h33m29s | time left: 02h26m53s
epoch  2/ 8 | batch   201/  404 | examples/s: 2.5 | loss: 0.1437 | loss_pe/0: 0.1437 | self_loss: 0.1437 | min_d: 0.0135 | max_d: 0.2503 | time elapsed: 00h33m41s | time left: 02h26m15s
epoch  2/ 8 | batch   226/  404 | examples/s: 2.5 | loss: 0.1115 | loss_pe/0: 0.1115 | self_loss: 0.1115 | min_d: 0.0132 | max_d: 0.2414 | time elapsed: 00h34m41s | time left: 02h23m16s
epoch  2/ 8 | batch   251/  404 | examples/s: 2.4 | loss: 0.1457 | loss_pe/0: 0.1457 | self_loss: 0.1457 | min_d: 0.0121 | max_d: 0.2379 | time elapsed: 00h35m42s | time left: 02h20m28s
epoch  2/ 8 | batch   276/  404 | examples/s: 2.5 | loss: 0.1362 | loss_pe/0: 0.1362 | self_loss: 0.1362 | min_d: 0.0131 | max_d: 0.2294 | time elapsed: 00h36m42s | time left: 02h17m46s
epoch  2/ 8 | batch   301/  404 | examples/s: 2.4 | loss: 0.0113 | loss_pe/0: 0.0113 | self_loss: 0.0113 | min_d: 0.0115 | max_d: 0.2328 | time elapsed: 00h37m44s | time left: 02h15m15s
epoch  2/ 8 | batch   326/  404 | examples/s: 2.5 | loss: 0.1140 | loss_pe/0: 0.1140 | self_loss: 0.1140 | min_d: 0.0135 | max_d: 0.3283 | time elapsed: 00h38m44s | time left: 02h12m46s
epoch  2/ 8 | batch   351/  404 | examples/s: 2.5 | loss: 0.1443 | loss_pe/0: 0.1443 | self_loss: 0.1443 | min_d: 0.0124 | max_d: 0.2508 | time elapsed: 00h39m45s | time left: 02h10m25s
epoch  2/ 8 | batch   376/  404 | examples/s: 2.5 | loss: 0.1196 | loss_pe/0: 0.1196 | self_loss: 0.1196 | min_d: 0.0119 | max_d: 0.2395 | time elapsed: 00h40m45s | time left: 02h08m08s
epoch  2/ 8 | batch   396/  404 | examples/s: 2.5 | loss: 0.1197 | loss_pe/0: 0.1197 | self_loss: 0.1197 | min_d: 0.0129 | max_d: 0.2369 | time elapsed: 00h41m34s | time left: 02h06m24s
epoch  2/ 8 | batch   401/  404 | examples/s: 2.7 | loss: 0.0737 | loss_pe/0: 0.0737 | self_loss: 0.0737 | min_d: 0.0104 | max_d: 0.2311 | time elapsed: 00h41m46s | time left: 02h05m56s
self.epoch: 2, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
